24	bất diệt	不滅	A	yes	ふめつ	名,形動
25	bất khuất	不屈	A	yes	ふくつ	名,形動
26	bí mật	祕密	N,A	yes	ひみつ	名,形動
27	bi quan	悲觀	A	yes	ひかん	自他動,名
28	bí thư	祕書	N	yes	ひしょ	名
29	biến hoá	變化		yes	へんか	自動,名
30	biện pháp	辦法	N	no	_	_
31	biểu diễn	表演	V2	no	_	_
32	biểu hiện	表現	N	yes	ひょうげん	他動,名
33	biểu tình	表情		yes	ひょうじょう	名
34	bình dân	平民	N,A	yes	へいみん	名
35	bình đẳng	平等	A	yes	びょうどう	名,形動
36	bình dị	平易	A	yes	へいい	名,形動
37	bình định	平定	V2	yes	へいてい	他動,名
38	bình tĩnh	平靜	A	yes	へいせい	名,形動
39	bộ binh	步兵	N	yes	ほへい	名
40	bộ đội	部隊	N	yes	ぶたい	名
41	bộ phận	部分	N	yes	ぶぶん	名
42	bộ trưởng	部長	N	yes	ぶちょう	名
43	bồi dưỡng	培養	V3	yes	ばいよう	他動,名
44	bưu chính	郵政	N	yes	ゆうせい	名
45	bưu điện	郵電	N	no	_	_
46	cá nhân	個人	N,A	yes	こじん	名
47	cách mạng	革命	N,A	yes	かくめい	名
48	cải tạo	改造	V3	yes	かいぞう	他動,名
49	cải thiện	改善	V3	yes	かいぜん	他動,名
50	cấm chỉ	禁止	V2	yes	きんし	他動,名
51	cầm đầu	擒頭		no	_	_
52	cảm động	感動	A	yes	かんどう	自動,名
53	cảm giác	感覺	N	yes	かんかく	名
54	cảm ơn	感恩	V1	yes	かんおん	自動,名
55	cầm quyền	擒權		no	_	_
56	cán bộ	幹部	N	yes	かんぶ	名
57	căn cứ	根據	N	yes	こんきょ	名
58	cần cù	勤劬	A	no	_	_
59	cân đối	斤對	V2,A	no	_	_
60	cần kiệm	勤儉	A	yes	きんけん	名
61	cẩn thận	謹慎	A	yes	きんしん	自動,名
62	can thiệp	干涉	V2	yes	かんしょう	自動,名
63	cảnh sát	警察	N	yes	けいさつ	名
64	cấp bách	急迫	A	yes	きゅうはく	自動,名
65	cấu tạo	構造	V1,N	yes	こうぞう	名
66	chân thật	真實	A	yes	しんじつ	名,形動
67	chấp hành	執行	V3	yes	しっこう	他動,名
68	chất lượng	質量	N	yes	しつりょう	名
69	chế độ	制度	N	yes	せいど	名
70	chi bộ	支部	N	yes	しぶ	名
71	chỉ đạo	指導	V2	yes	しどう	他動,名
72	chỉ huy	指揮	V3,N	yes	しき	他動,名
73	chi tiết	枝節	N,A	no	_	_
74	chi tiêu	支銷	V2	no	_	_
75	chiến công	戰功	N	yes	せんこう	名
76	chiến đấu	戰鬥		yes	せんとう	自動,名
77	chiến lược	戰略	N,A	yes	せんりゃく	名
78	chiến sĩ	戰士	N	yes	せんし	名
79	chiến thắng	戰勝	V1,N	yes	せんしょう	自動,名
80	chính phủ	政府	N	yes	せいふ	名
81	chính quyền	政權	N	yes	せいけん	名
82	chính sách	政策	N	yes	せいさく	名
83	chính trị	政治	N,A	yes	せいじ	名
84	chính xác	正確	A	yes	せいかく	名,形動
85	chu đáo	周到	A	yes	しゅうとう	形動
86	chủ động	主動		yes	しゅどう	自動,名
87	chủ nghĩa	主義	N	yes	しゅぎ	名
88	chủ nhật	主日	N	yes	しゅじつ	名
89	chủ nhiệm	主任	N	yes	しゅにん	名
90	chủ quan	主觀	N,A	yes	しゅかん	名
91	chủ quyền	主權	N	yes	しゅけん	名
92	chủ tịch	主席	N	yes	しゅせき	名
93	chú trọng	注重	V2	no	_	_
94	chủ trương	主張	V1,N	yes	しゅちょう	他動,名
95	chú ý	注意		yes	ちゅうい	自他動,名
96	chủ yếu	主要	A	yes	しゅよう	名,形動
97	chuẩn bị	準備	V2	yes	じゅんび	他動,名
98	chuyển biến	轉變		yes	てんべん	自動,名
99	chuyên môn	專門	N,A	yes	せんもん	名
100	chuyên nghiệp	專業	N,A	yes	せんぎょう	名
101	cơ bản	基本	A	yes	きほん	名
102	cơ cấu 	機構	N	yes	きこう	名
103	cơ giới	機械	N,A	yes	きかい	名
104	cơ hội	機会	N,A	yes	きかい	名
105	cơ khí	機器	N	yes	きき	名
106	cô lập	孤立	V3	yes	こりつ	自動,名
